50,1225
0,1,13
0,2,10
0,3,0
0,4,7
0,5,17
0,6,2
0,7,15
0,8,1
0,9,15
0,10,15
0,11,8
0,12,16
0,13,8
0,14,6
0,15,15
0,16,5
0,17,4
0,18,3
0,19,17
0,20,5
0,21,8
0,22,6
0,23,15
0,24,14
0,25,19
0,26,1
0,27,6
0,28,0
0,29,3
0,30,10
0,31,18
0,32,15
0,33,7
0,34,18
0,35,7
0,36,15
0,37,1
0,38,18
0,39,13
0,40,17
0,41,3
0,42,1
0,43,2
0,44,18
0,45,10
0,46,3
0,47,10
0,48,8
0,49,0
1,2,12
1,3,10
1,4,2
1,5,13
1,6,15
1,7,11
1,8,2
1,9,16
1,10,4
1,11,19
1,12,1
1,13,15
1,14,9
1,15,17
1,16,16
1,17,15
1,18,13
1,19,1
1,20,14
1,21,16
1,22,9
1,23,0
1,24,17
1,25,17
1,26,16
1,27,7
1,28,19
1,29,18
1,30,9
1,31,18
1,32,3
1,33,8
1,34,0
1,35,11
1,36,13
1,37,13
1,38,8
1,39,0
1,40,0
1,41,18
1,42,8
1,43,4
1,44,2
1,45,19
1,46,13
1,47,13
1,48,3
1,49,13
2,3,0
2,4,8
2,5,6
2,6,3
2,7,9
2,8,7
2,9,11
2,10,2
2,11,18
2,12,6
2,13,4
2,14,4
2,15,15
2,16,3
2,17,12
2,18,19
2,19,8
2,20,7
2,21,12
2,22,16
2,23,0
2,24,15
2,25,0
2,26,0
2,27,7
2,28,3
2,29,16
2,30,12
2,31,11
2,32,18
2,33,9
2,34,2
2,35,1
2,36,15
2,37,10
2,38,4
2,39,19
2,40,1
2,41,7
2,42,11
2,43,9
2,44,7
2,45,19
2,46,17
2,47,9
2,48,9
2,49,6
3,4,3
3,5,19
3,6,11
3,7,1
3,8,14
3,9,14
3,10,15
3,11,12
3,12,18
3,13,10
3,14,6
3,15,10
3,16,4
3,17,13
3,18,17
3,19,12
3,20,12
3,21,19
3,22,11
3,23,13
3,24,10
3,25,18
3,26,12
3,27,15
3,28,4
3,29,1
3,30,10
3,31,10
3,32,2
3,33,17
3,34,15
3,35,19
3,36,13
3,37,10
3,38,17
3,39,9
3,40,14
3,41,14
3,42,10
3,43,11
3,44,18
3,45,4
3,46,6
3,47,9
3,48,1
3,49,4
4,5,16
4,6,3
4,7,11
4,8,19
4,9,3
4,10,7
4,11,12
4,12,12
4,13,9
4,14,8
4,15,10
4,16,14
4,17,17
4,18,0
4,19,15
4,20,3
4,21,5
4,22,0
4,23,5
4,24,18
4,25,19
4,26,1
4,27,11
4,28,2
4,29,19
4,30,0
